University,State,Private,SATm,SATv,SAT,ACT,SATm25,SATm75,SATv25,SATv75,ACT25,ACT75,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Instate,Outstate,Room.Board,Room,Board,Fees,Books,Personal,PhD,Terminal,S.F.Ratio,perc.Alumni,Expend,Grad.Rate,Sal.Prof,Sal.Assoc,Sal.Assist,Sal.All,Comp.Prof,Comp.Assoc,Comp.Assist,Comp.All,Num.Prof,Num.Assoc,Num.Assist,Num.Instruct,Num.Faculty
Ursinus College,PA,2,567,512,1079,*,520,620,460,560,*,*,1399,1026,308,44,77,1131,17,14900,14900,5160,*,*,180,500,800,82,85,11.6,40,12082,79,528,419,354,434,686,547,458,563,32,28,29,2,91
Villanova University,PA,2,599,528,1127,*,*,*,*,*,*,*,7759,5588,1477,30,68,6362,1292,15925,15925,6507,3170,3337,445,400,300,89,90,13.4,24,10458,96,726,535,438,536,912,698,586,698,133,143,206,21,503
Washington and Jefferson College,PA,2,*,*,*,*,500,640,480,590,22,27,1305,1100,334,42,64,1098,151,16260,16260,4005,2070,1935,280,300,500,91,91,12.1,40,10162,86,549,480,373,473,689,608,494,602,33,29,18,7,87
Waynesburg College,PA,2,*,*,*,*,*,*,*,*,*,*,1190,978,324,12,30,1280,61,8840,8840,3620,1800,1820,220,500,1200,57,58,16.2,26,6563,63,407,332,297,333,541,453,399,451,20,11,22,11,67
Westminster College,PA,2,530,470,1000,24,460,570,420,520,21,27,996,866,377,29,58,1411,72,12065,12065,3615,1980,1635,595,430,685,62,78,12.5,41,8596,80,497,410,337,423,603,498,394,508,47,12,24,10,93
Wilkes University,PA,2,*,*,*,*,410,540,370,480,*,*,1631,1431,434,15,36,1803,603,11150,11150,5130,3100,2030,418,550,1260,78,92,13.3,24,8543,67,499,430,338,409,612,534,408,502,31,53,53,0,138
Wilson College,PA,2,470,460,930,*,430,560,450,530,*,*,167,130,46,16,50,199,676,11428,11428,5084,2509,*,118,450,475,67,76,8.3,43,10291,67,322,314,269,294,402,366,315,350,8,9,12,3,32
York College of Pennsylvania,PA,2,517,469,986,*,480,570,440,530,*,*,2989,1855,691,28,63,2988,1726,4990,4990,3560,1725,1835,225,500,1250,75,75,18.1,28,4509,99,615,512,414,464,809,664,537,603,13,32,67,1,113
Allentown Coll. of St. Francis de Sales,PA,2,515,470,985,*,460,580,410,520,*,*,1179,780,290,38,64,1130,638,9690,9690,4785,2495,2290,60,600,1000,60,84,13.3,21,7940,74,486,415,342,365,594,532,429,458,6,19,33,10,68
La Roche College,PA,2,408,380,788,*,370,480,320,430,*,*,361,321,185,10,41,650,819,8842,8842,4782,2862,1920,140,600,1100,57,73,14.2,14,7022,52,433,364,302,351,518,438,355,419,11,12,21,0,44
Neumann College,PA,2,451,414,865,*,390,500,350,450,*,*,245,180,69,17,23,485,752,9950,9950,*,*,*,240,500,*,42,58,11.0,*,8846,*,*,328,296,307,*,457,399,415,5,9,27,3,44
Pennsylvania State Univ. Main Campus,PA,1,583,500,1083,*,530,651,450,560,*,*,19315,10344,3450,48,93,28938,2025,4966,10645,4060,1840,2220,70,512,2394,77,96,18.1,19,8992,63,721,509,417,522,887,642,525,652,622,449,427,160,1799
Clarion University of Pennsylvania,PA,1,448,412,860,*,430,540,390,490,*,*,2740,2497,1188,*,*,4828,605,3086,7844,2924,1710,1214,792,550,1498,61,65,19.2,19,5556,63,649,539,419,517,824,694,549,665,100,92,110,22,324
Brown University,RI,2,680,620,1300,28,640,730,570,680,26,32,12586,3239,1462,87,95,5643,349,19528,19528,5926,3574,2352,650,720,1100,99,100,7.6,39,20440,97,752,515,433,625,956,659,554,797,286,100,111,0,514
Bryant College,RI,2,536,447,983,*,480,600,400,490,*,*,2198,1786,632,15,43,2556,1004,12600,12600,6410,3640,2770,*,500,700,84,84,19.0,*,8353,82,632,582,502,556,812,746,629,709,40,43,45,0,135
Providence College,RI,2,537,485,1022,25,520,610,440,530,*,*,5139,3346,973,20,55,3717,1358,14400,14400,6200,3250,2950,375,450,1100,66,74,18.4,35,8135,96,633,526,418,489,827,712,544,646,43,68,93,15,219
Rhode Island College,RI,1,*,*,*,*,390,500,360,470,*,*,2310,1767,1030,15,50,4882,2706,2370,6694,5137,2537,2600,468,500,*,74,76,15.7,12,6827,47,518,442,381,453,675,581,504,594,125,101,96,1,323
Rhode Island School of Design,RI,2,551,508,1059,*,500,600,450,600,*,*,1831,842,379,17,45,1846,*,16684,16684,6672,3354,3318,90,1500,1700,27,69,10.0,22,11622,96,558,427,351,444,739,576,484,598,35,49,34,0,118
Salve Regina University,RI,2,455,420,875,*,405,505,370,470,*,*,1475,1257,362,7,20,1393,278,14200,14200,6500,6500,*,75,500,*,64,73,9.6,21,9232,71,495,397,327,385,620,496,406,481,29,43,37,14,124
University of Rhode Island,RI,1,515,449,964,*,460,560,400,490,*,*,9643,7751,1968,12,40,8894,2456,3004,10330,5558,3168,2390,1238,500,1250,84,89,16.6,7,9158,63,630,473,416,541,813,622,548,703,334,187,135,3,659
Roger Williams University,RI,2,455,406,861,*,395,525,355,475,*,*,3304,2804,679,10,20,2111,1489,12520,12520,6050,3060,2990,480,500,730,44,54,16.4,8,7957,61,*,*,*,464,*,*,*,605,0,0,0,0,104
Charleston Southern University,SC,2,497,450,947,*,410,530,390,480,*,*,1199,904,397,*,*,1533,734,7730,7730,3170,*,*,9,750,1890,60,61,19.2,*,5825,39,429,356,299,327,518,430,359,395,12,20,29,6,72
Benedict College,SC,2,*,*,*,*,*,*,*,*,*,*,1622,1472,341,*,*,1203,63,5210,5210,2992,*,*,425,120,2200,44,49,14.6,11,5360,48,320,260,241,257,381,311,289,308,21,10,29,18,78
Central Wesleyan College,SC,2,429,384,813,18,*,*,*,*,*,*,174,146,88,8,29,1047,33,8300,8300,3080,1000,2080,200,600,600,62,62,15.2,18,3365,58,293,247,214,264,366,311,261,329,20,7,9,0,36
The Citadel,SC,1,*,*,*,*,450,600,400,550,20,24,1500,1242,611,12,36,2024,292,3076,7070,2439,830,1609,264,400,779,95,94,17.1,17,7744,84,469,405,332,421,576,502,415,520,65,59,24,0,148
Clemson University,SC,1,565,487,1052,*,530,620,430,510,*,*,8065,5257,2301,37,65,11755,770,3036,8116,3610,1890,1720,*,800,1618,82,88,18.0,17,7597,73,602,441,375,466,728,544,465,571,296,224,191,42,801
Coker College,SC,2,469,431,900,*,420,540,370,470,*,*,604,452,295,15,47,690,222,9888,9888,4502,1846,2670,185,400,1000,64,77,12.1,39,8741,75,425,359,318,358,521,425,378,430,14,9,18,2,43
College of Charleston,SC,1,532,489,1019,22,480,580,440,530,20,24,4772,3140,1265,22,55,6851,1200,3060,6120,3460,2200,1260,*,666,2316,73,78,17.2,18,4776,51,475,410,320,374,581,505,399,462,68,102,118,32,320
Columbia College,SC,2,460,433,893,*,430,500,400,470,*,*,737,614,242,21,67,968,237,10425,10425,3975,3975,*,*,500,1500,61,77,14.7,34,8693,76,415,355,330,358,515,441,402,442,23,25,15,9,76
Converse College,SC,2,*,*,*,*,*,*,*,*,*,*,440,407,149,35,70,643,80,12050,12050,3700,*,*,*,500,900,63,76,10.2,31,10965,75,467,384,317,372,582,495,402,473,12,31,23,3,69
Erskine College,SC,2,532,482,1014,*,470,590,410,550,*,*,659,557,167,47,74,532,35,10485,10485,3840,1760,2080,660,475,1246,76,80,13.5,47,7527,67,420,*,297,355,527,*,366,444,19,5,14,2,40
Furman University,SC,2,584,528,1112,*,520,640,470,580,23,27,2161,1951,685,56,82,2371,175,13440,13440,4048,2096,1952,134,600,1250,92,95,13.5,28,12940,82,551,414,343,453,719,530,430,583,86,39,54,6,185
Lander University,SC,1,455,406,861,18,*,*,*,*,*,*,1166,1009,510,9,33,2074,341,3340,4938,2987,1867,1120,50,528,1702,67,77,17.0,11,6119,51,453,381,343,380,557,472,427,470,34,31,41,4,114
Limestone College,SC,2,*,*,*,*,*,*,*,*,*,*,725,554,369,5,40,786,682,7100,7100,3500,3500,*,100,300,*,39,50,11.2,8,6321,*,277,282,250,264,319,328,287,303,7,8,11,2,28
Morris College,SC,2,*,*,*,*,*,*,*,*,*,*,882,730,330,2,13,926,12,4515,4515,2550,2550,*,115,850,2100,53,60,18.6,34,6990,60,*,278,252,269,*,314,285,303,5,16,21,4,46
Newberry College,SC,2,466,418,884,20,360,420,320,430,*,*,872,722,154,14,36,601,36,10194,10194,2600,1600,1000,300,500,1500,57,63,11.4,32,5788,83,351,290,243,287,411,344,290,339,11,19,11,5,46
Presbyterian College,SC,2,580,520,1100,26,510,630,490,570,*,*,1082,832,302,34,63,1133,30,11859,11859,3635,1711,1924,892,554,1429,80,85,13.4,42,8354,85,503,376,316,397,637,478,395,501,26,22,22,5,75
South Carolina State University,SC,1,373,330,703,17,*,*,*,*,*,*,2556,1752,946,7,16,4396,515,2200,4380,2736,1420,1316,100,600,*,60,60,18.3,*,5542,*,458,379,307,350,561,467,382,432,59,58,77,36,255
University of South Carolina at Columbia,SC,1,520,465,985,22,460,580,400,520,19,25,7693,5815,2328,30,66,12594,3661,3196,8074,3522,3522,*,*,495,2941,84,88,16.9,18,8246,63,585,436,385,475,705,532,472,577,417,335,194,60,1034
University of South Carolina at Aiken,SC,1,480,425,905,21,*,*,*,*,*,*,848,560,377,14,24,1855,1412,2320,5800,3066,3066,*,75,500,1500,62,62,14.8,3,5035,48,461,392,317,374,563,481,392,457,30,39,36,12,117
Coastal Carolina University,SC,1,*,*,*,*,400,510,350,450,18,21,1854,1391,732,9,28,3020,1174,2710,7000,4090,2640,1450,*,600,*,74,74,17.0,7,5201,51,437,377,314,340,535,464,389,419,23,43,49,28,143
Voorhees College,SC,2,340,330,670,16,*,*,*,*,*,*,1465,1006,188,10,30,703,20,4450,4450,2522,*,*,*,500,1200,43,43,22.9,3,5861,58,*,*,254,233,*,*,287,265,1,3,12,14,30
Winthrop University,SC,1,516,470,986,18,460,570,410,520,16,20,2320,1805,769,24,61,3395,670,3620,6400,3392,2058,1334,*,580,2150,71,80,12.8,26,6729,59,464,378,327,378,578,474,413,474,73,78,70,19,242
Wofford College,SC,2,564,517,1081,24,510,620,460,580,22,27,1501,935,273,51,83,1059,34,12680,12680,4150,*,*,*,605,1440,91,92,15.3,42,7875,75,537,413,367,448,662,519,469,560,24,27,11,2,64
Univ. of South Carolina at Spartanburg,SC,1,459,411,870,19,400,510,360,450,17,21,885,553,381,13,38,2207,1058,2295,5739,*,*,*,*,312,*,70,70,15.9,13,5307,38,433,368,303,366,529,452,376,450,49,43,16,21,132
Francis Marion University,SC,1,441,396,837,*,380,490,350,450,*,*,1801,1655,819,13,38,3224,436,2920,5840,3138,1540,1598,*,400,2430,76,76,19.1,8,5039,43,476,394,328,387,585,488,410,480,64,37,40,25,166
Augustana College,SD,2,*,*,*,*,*,*,*,*,21,26,761,725,306,21,58,1337,300,10990,10990,3244,1622,1622,125,600,1021,66,70,10.4,30,6871,69,434,382,322,364,576,519,429,487,34,22,45,7,108
Black Hills State University,SD,1,*,*,*,*,*,*,*,*,18,22,938,938,588,7,23,2629,1283,1323,3222,2714,*,*,934,500,*,63,63,29.2,9,3544,51,410,341,303,329,487,409,366,396,24,13,50,11,98
Dakota Wesleyan University,SD,2,*,*,*,20,*,*,*,*,*,*,342,182,135,12,32,538,228,7540,7540,2710,*,*,*,600,1400,38,56,11.4,*,7334,75,*,290,246,257,*,356,302,317,4,11,13,7,36
Dakota State University,SD,1,*,*,*,20,*,*,*,*,18,22,385,358,229,5,21,988,597,1323,3222,2604,1186,1418,*,600,*,47,53,19.4,*,5291,35,469,357,349,351,554,427,419,420,9,11,24,12,56
Northern State University,SD,1,*,*,*,20,*,*,*,*,17,22,2056,2054,2054,10,40,2239,686,1411,3437,2202,1128,1074,832,550,1925,68,72,20.2,*,5252,54,417,333,297,337,498,402,362,407,27,30,35,12,104
Sioux Falls College,SD,2,*,*,*,22,*,*,*,*,19,24,437,400,211,13,35,614,271,8990,8990,3064,1340,1724,*,500,1700,73,73,14.8,7,7881,48,376,308,289,311,463,388,364,391,7,12,15,2,36
South Dakota School of Mines and Tech.,SD,1,*,*,*,24,*,*,*,*,*,*,1034,932,866,27,55,1691,557,1364,3573,2900,1200,1700,1309,500,1707,80,*,15.5,9,6411,*,473,414,362,419,562,495,435,500,45,28,26,5,104
South Dakota State University,SD,1,*,*,*,23,*,*,*,*,*,*,2807,2589,1701,13,37,7000,1103,1454,3811,2190,1120,1070,1024,500,1970,62,65,15.0,29,5084,67,440,368,326,368,521,440,392,440,132,67,122,44,367
University of South Dakota,SD,1,*,*,*,22,*,*,*,*,*,*,2160,2031,1268,15,39,5368,1066,1454,3811,2620,1208,1412,1125,675,1118,71,79,14.6,28,6456,*,480,364,340,362,570,438,410,436,88,75,134,55,352
Austin Peay State University,TN,1,*,*,*,21,*,*,*,*,*,*,2863,2154,1179,*,*,4772,2763,1616,5550,2930,1460,1470,262,700,1572,66,76,18.2,8,5087,36,482,362,314,374,581,445,390,458,86,47,102,17,252
Belmont University,TN,2,522,490,1012,24,450,570,410,550,21,26,1220,974,481,28,67,1964,623,7800,7800,3664,1974,1690,250,650,900,61,61,11.1,19,7614,49,484,372,315,382,573,445,377,455,42,54,45,7,148
Bethel College,TN,2,*,*,*,*,*,*,*,*,16,21,502,384,104,11,28,347,74,6200,6200,2900,2900,*,*,600,800,63,63,11.7,13,7623,35,287,*,255,262,345,*,307,323,9,4,9,5,27
Carson-Newman College,TN,2,*,*,*,23,*,*,*,*,20,25,1096,951,464,27,62,1776,239,8150,8150,3150,1260,1890,450,400,500,61,62,13.6,16,6716,67,393,334,286,324,475,405,339,390,32,33,41,11,117
Christian Brothers University,TN,2,530,480,1010,24,450,630,410,540,20,26,880,520,224,16,42,1068,364,9300,9300,3260,1350,1910,120,600,900,81,81,11.1,24,8129,63,414,347,312,345,509,435,395,432,22,28,32,4,86
David Lipscomb University,TN,2,510,470,980,23,*,*,*,*,19,25,1239,1134,611,*,*,1957,343,5775,5775,3340,1450,1890,1110,500,1700,97,100,16.2,12,8048,73,453,374,308,365,561,473,374,451,33,22,25,17,97
East Tennessee State University,TN,1,450,400,850,21,*,*,*,*,17,22,3330,2730,1303,15,36,6706,2640,1800,5800,3000,1600,1800,*,600,2200,73,75,14.0,9,9825,42,519,449,358,411,629,548,441,504,129,124,165,68,486
Fisk University,TN,2,456,425,881,21,*,*,*,*,*,*,1078,720,226,24,36,850,*,6240,6240,3690,1572,2118,75,600,1900,74,74,12.5,22,6911,43,383,369,269,319,451,437,314,375,17,19,17,2,65
Freed-Hardeman University,TN,2,485,458,943,22,*,*,*,*,19,25,895,548,314,20,54,1174,50,5500,5500,3340,1590,1750,770,600,1600,68,76,16.1,13,6078,62,382,326,271,305,454,401,346,374,16,23,20,9,69
Lambuth University,TN,2,*,*,*,22,*,*,*,*,*,*,831,538,224,15,35,840,325,5170,5170,3430,1400,2030,210,600,1590,61,61,16.1,10,5531,60,316,288,283,294,405,380,363,379,15,9,16,2,42
Lee College,TN,2,460,456,916,21,*,*,*,*,16,23,651,498,453,*,23,1831,180,4788,4788,3320,1660,1660,132,500,1800,42,43,18.5,5,4914,52,350,320,284,297,431,407,334,360,12,20,29,13,74
Maryville College,TN,2,505,448,953,23,430,560,390,520,20,25,1464,888,176,26,52,624,128,11200,11200,4208,1998,2210,150,500,1642,80,90,11.1,43,8317,51,429,351,289,338,520,419,348,406,12,14,19,4,49
University of Memphis,TN,1,*,*,*,22,*,*,*,*,20,26,3921,2557,1691,*,*,10621,4864,1974,5908,2500,1633,*,68,500,900,77,80,16.9,11,6578,33,558,425,376,443,674,522,464,542,264,194,193,71,722
Middle Tennessee State University,TN,1,503,439,942,20,440,500,380,490,18,23,4587,3423,2132,*,*,12541,2885,1616,5550,2352,1584,974,176,500,*,69,72,19.2,10,4902,39,542,418,336,410,654,511,416,501,202,167,224,76,669
Milligan College,TN,2,*,*,*,23,*,*,*,*,20,26,610,461,189,26,52,685,49,8200,8200,3300,1600,1700,200,550,1000,63,69,12.0,16,8128,64,398,334,291,347,465,404,337,410,21,16,15,0,52
Southern Coll. of Seventh-day Adventists,TN,2,*,*,*,*,*,*,*,*,19,25,699,660,349,*,*,1198,296,8414,8414,3496,1530,1966,250,504,900,49,49,14.1,19,7665,59,270,261,249,260,348,331,322,334,34,32,19,5,90
Rhodes College,TN,2,*,*,*,*,570,680,520,620,25,30,2302,1831,391,58,82,1345,59,15200,15200,4768,2696,2072,158,550,1500,90,96,10.8,47,13388,77,575,446,353,430,741,566,428,538,23,37,46,4,110
Tennessee State University,TN,1,*,*,*,*,*,*,*,*,18,22,6626,4122,721,24,31,4566,1913,1470,4836,2290,986,1304,70,*,*,72,73,18.6,*,7527,41,477,418,330,407,595,524,420,512,111,78,71,28,288
Tennessee Technological University,TN,1,*,*,*,*,*,*,*,*,*,*,2594,2542,1580,11,29,6461,910,1740,4025,3625,1505,2125,*,700,1400,76,84,16.9,*,5799,54,547,424,346,436,664,527,439,540,146,98,100,32,376
Tusculum College,TN,2,420,370,790,19,370,510,320,450,16,26,626,372,145,12,34,983,40,7700,7700,3400,3400,*,100,450,800,70,70,21.9,28,4933,52,353,327,290,314,426,396,340,373,6,7,14,0,27
Union University,TN,2,*,*,*,24,*,*,*,*,*,*,846,752,406,35,84,1688,502,5780,5780,2530,1580,950,134,550,600,44,52,13.5,13,3861,*,396,361,318,332,496,454,396,414,18,22,52,20,112
University of Tennessee at Chattanooga,TN,1,*,*,*,22,*,*,*,*,19,25,2091,1338,991,*,*,5359,1758,1824,5800,3304,1704,1600,*,600,1025,76,86,16.8,*,6339,39,494,420,365,428,628,525,452,538,113,60,79,11,263
University of Tennessee at Knoxville,TN,1,525,468,993,23,460,590,410,530,21,26,7473,5372,3013,27,53,15749,3237,1830,5764,3262,1584,1678,222,750,3300,86,92,16.5,22,8612,53,600,454,402,501,756,570,500,630,535,325,202,65,1139
University of Tennessee at Martin,TN,1,*,*,*,22,*,*,*,*,18,23,1934,1500,1123,*,*,4669,675,1900,5832,2890,1490,1400,*,500,1000,68,73,19.6,10,5396,48,473,409,337,413,615,509,426,527,103,57,48,17,225
University of the South,TN,2,601,557,1158,27,550,650,500,620,25,29,1445,966,326,46,83,1129,24,15350,15350,4080,2010,2070,175,450,810,89,93,10.3,52,18784,82,578,427,347,485,759,571,447,636,53,20,18,6,99
Vanderbilt University,TN,2,640,559,1199,28,590,690,510,610,26,30,7791,4690,1499,71,92,5500,90,17865,17865,6525,4132,2393,964,630,952,93,98,5.8,26,23850,83,807,522,432,612,988,651,538,756,289,160,177,9,657
Abilene Christian University,TX,2,*,*,*,22,*,*,*,*,19,25,1660,1232,721,23,52,2885,537,7440,7440,3300,*,*,*,450,2200,70,78,18.1,12,7041,60,424,375,339,376,555,491,418,494,68,42,36,14,160
Angelo State University,TX,1,509,441,950,22,420,580,380,510,19,25,3540,2001,1016,24,54,4190,1512,840,5130,3592,1324,2268,734,500,2000,60,62,23.1,5,4010,34,485,425,369,398,618,549,484,517,68,27,40,45,180
Austin College,TX,2,554,498,1052,24,500,610,440,560,21,27,948,798,295,42,74,1120,15,11280,11280,4342,*,*,125,400,1150,81,95,13.0,33,11361,71,508,394,320,418,629,500,390,518,37,20,23,4,84
East Texas Baptist University,TX,2,*,*,*,21,*,*,*,*,18,24,379,341,265,10,36,1050,151,4950,4950,2780,1040,1740,470,530,1500,62,62,15.7,7,5619,38,377,318,325,329,460,409,403,409,19,9,17,10,55
East Texas State University,TX,1,467,411,878,21,*,*,*,*,*,*,2219,1441,719,*,*,4129,1343,1580,5390,3380,*,*,*,810,1080,87,90,21.8,9,5073,35,494,378,351,418,625,487,456,536,107,66,58,13,248
Hardin-Simmons University,TX,2,510,470,980,22,420,560,370,500,18,25,467,424,350,16,40,1365,334,6300,6300,2980,1360,1620,480,700,2140,75,79,13.7,10,7054,38,378,311,295,330,457,380,357,400,39,11,25,9,84
Houston Baptist University,TX,2,498,432,930,22,410,580,380,490,21,25,413,330,215,*,55,1247,430,5400,5400,2340,2340,*,210,600,*,65,71,14.0,*,5438,56,408,363,314,345,507,456,397,434,34,19,43,15,111
Lamar University,TX,1,459,413,872,20,320,460,300,450,*,*,2336,1725,1043,10,27,5438,4058,864,4752,3040,1386,1654,840,508,1463,48,82,18.4,12,5879,26,482,382,334,361,591,475,417,447,82,81,91,64,343
LeTourneau University,TX,2,552,491,1043,24,490,640,430,550,20,29,477,417,204,29,54,1532,77,8840,8840,4240,4240,*,120,600,1400,58,70,20.8,23,6863,56,404,343,319,349,525,431,428,449,15,18,11,6,50
Midwestern State University,TX,1,*,*,*,*,*,*,*,*,*,*,1597,1125,751,*,*,3404,1734,840,5130,3436,1800,1636,896,630,1838,95,97,21.6,7,4001,36,491,418,362,399,613,528,463,505,42,45,54,20,162
University of North Texas,TX,1,526,467,993,23,460,590,420,520,20,24,4418,2737,2049,23,51,14047,5134,672,4104,3579,1840,1739,650,450,1700,86,94,22.6,6,5657,35,551,443,382,448,674,550,479,555,249,203,234,5,751
Our Lady of the Lake University,TX,2,434,407,841,*,380,480,340,460,*,*,2308,1336,295,22,46,1202,942,8530,8530,3644,2020,1624,134,616,1576,56,64,14.9,25,7114,37,499,405,346,379,577,469,399,437,24,25,30,21,101
University of Texas-Pan American,TX,1,*,*,*,*,*,*,*,*,*,*,4040,4040,1800,*,46,7410,3055,991,3486,2536,*,*,*,*,*,92,92,22.9,*,*,16,503,426,343,367,625,536,439,467,63,85,109,109,369
Rice University,TX,2,*,*,*,*,665,763,592,708,*,*,7935,1514,633,87,95,2674,*,9950,9950,5725,3100,2625,365,525,1330,91,100,8.6,39,22836,91,809,548,481,663,992,682,593,816,224,89,91,8,422
Sam Houston State University,TX,1,*,*,*,21,*,*,*,*,18,22,4839,3549,1577,41,41,8901,2245,840,5130,2970,1500,1490,688,900,*,76,90,27.2,*,4029,43,497,403,341,408,633,523,451,529,147,63,116,10,365
Schreiner College,TX,2,470,420,890,22,400,540,350,460,19,25,584,413,131,19,51,521,99,8955,8955,5900,2810,3090,40,500,1488,51,56,11.8,23,8545,52,354,300,257,282,425,363,313,343,12,8,8,12,40
Southern Methodist University,TX,2,*,*,*,*,*,*,*,*,22,27,4301,3455,1166,41,69,4892,387,12772,12772,5078,2652,2426,*,576,1802,74,88,13.5,17,12726,72,733,505,463,550,918,636,570,687,158,154,135,5,483
Southwest Texas State University,TX,1,482,425,907,21,420,530,370,480,19,23,8532,5316,2421,14,48,13806,4277,840,4860,3676,*,*,884,500,*,70,70,21.2,13,4056,39,495,410,328,385,619,521,426,492,209,135,204,53,662
Southwestern University,TX,2,577,526,1103,25,520,640,470,580,23,28,1244,912,352,44,77,1177,43,11850,11850,4675,2150,2525,*,600,1050,83,89,11.3,35,12995,67,627,470,373,478,763,581,465,590,22,33,25,3,83
St. Edward's University,TX,2,483,438,921,22,420,540,400,490,19,25,1272,1012,375,20,45,1732,936,9428,9428,4070,4070,*,*,600,*,76,72,15.7,16,7037,46,469,385,331,380,552,454,392,448,12,45,24,2,83
St. Mary's University of San Antonio,TX,2,516,454,970,22,460,560,400,510,20,24,1243,1020,414,33,60,2149,418,8678,8678,3858,*,*,330,700,1736,82,83,16.2,7,7651,72,652,474,383,502,744,560,452,585,58,57,49,5,169
Stephen F. Austin State University,TX,1,467,472,939,21,390,510,380,490,19,22,5870,4461,2272,12,32,9851,1289,780,4860,3610,3610,*,618,200,*,85,87,21.4,3,3997,50,473,379,338,380,582,478,434,481,138,74,114,37,391
Sul Ross State University,TX,1,397,347,744,17,320,460,280,400,14,19,*,*,305,7,20,1535,412,672,3888,2980,1350,1630,612,450,1944,68,71,18.8,*,5478,28,440,368,310,354,562,474,410,462,34,15,24,8,95
Prairie View A. and M. University,TX,1,377,332,709,17,*,*,*,*,*,*,2405,2234,1061,10,22,4564,448,840,4290,3500,1580,1920,820,598,1582,55,93,19.4,1,5967,35,485,421,347,369,616,542,455,481,34,58,64,73,232
Tarleton State University,TX,1,441,391,832,20,380,510,340,440,18,21,1195,1095,923,*,28,4856,724,840,4860,2784,1292,1492,639,1000,*,60,60,21.9,*,4242,41,446,399,347,354,570,516,455,462,42,48,48,62,204
Texas Christian University,TX,2,*,*,*,*,460,600,420,540,21,27,4095,3079,1195,33,64,5064,660,8490,8490,3320,1920,1400,990,650,2400,81,93,14.8,23,9158,64,654,477,423,511,811,599,518,632,107,109,99,9,336
Texas A&M University at Kingsville,TX,1,*,*,*,18,*,*,*,*,*,*,1822,1481,1055,10,33,4455,941,*,*,*,*,*,*,*,*,89,89,19.7,10,5049,42,467,393,348,386,589,502,450,494,72,51,41,12,192
Texas Lutheran College,TX,2,498,436,934,22,430,550,370,490,19,25,497,423,215,27,57,895,429,7850,7850,3410,1490,1920,50,490,1700,54,58,13.8,24,7002,50,458,370,313,365,564,456,386,449,20,13,20,8,61
Texas Southern University,TX,1,390,420,810,19,*,*,*,*,*,*,4345,3245,2604,15,85,5584,3101,780,7860,3360,1680,1680,*,600,1700,65,75,18.2,21,3605,10,551,455,366,423,684,573,469,535,83,82,104,50,331
Texas Tech University,TX,1,526,456,982,23,460,590,400,510,20,25,6334,5051,2957,25,58,16785,2780,780,4860,3688,3688,*,838,530,*,82,92,24.7,24,5449,41,610,429,363,468,762,550,472,595,270,216,220,14,742
Texas Wesleyan University,TX,2,426,415,841,20,400,540,360,480,18,23,592,501,279,19,44,1204,392,6400,6400,3484,3484,*,390,600,1800,80,83,14.5,10,7936,43,456,536,298,439,570,656,370,544,42,30,15,9,96
Texas Woman's University,TX,1,*,*,*,*,350,480,320,440,16,21,989,777,474,*,*,3791,1961,647,2279,2942,1502,1440,140,700,1200,67,70,14.3,6,6637,35,499,401,342,396,623,507,438,501,93,107,101,40,353
Trinity University,TX,2,635,575,1210,*,595,695,515,625,24,30,2425,1818,601,62,93,2110,95,12240,12240,5150,3225,1925,140,500,490,94,96,9.6,20,14703,93,696,477,389,548,860,610,497,686,95,61,57,3,216
University of Dallas,TX,2,593,550,1143,26,530,660,490,600,24,28,681,588,246,44,74,1058,73,10760,10760,6230,4030,2200,50,500,1200,85,93,13.4,26,8731,63,474,432,364,395,578,550,446,489,23,35,25,1,108
University of Houston-Main Campus,TX,1,537,447,984,22,*,*,*,*,*,*,6233,3990,2150,32,65,15340,9355,672,4104,3980,*,*,690,600,*,*,*,14.6,13,6895,32,681,462,398,520,836,585,510,651,341,288,238,24,903
University of Texas at Arlington,TX,1,506,434,940,21,450,580,385,520,19,24,3281,2559,1448,19,43,10975,8431,1206,4422,2780,1440,1340,*,500,2850,73,73,21.0,4,4696,29,581,438,395,455,724,557,506,577,185,224,137,0,608
University of Texas at Austin,TX,1,603,523,1126,25,546,670,466,588,23,28,14752,9572,5329,48,85,30017,5189,840,5130,3309,1733,1576,1068,650,3140,91,99,19.7,11,7837,65,732,476,432,577,888,599,548,713,997,439,480,30,2099
University of Texas at El Paso,TX,1,*,*,*,19,*,*,*,*,*,*,3528,2941,2252,*,38,9551,4817,672,4104,*,2460,*,626,*,*,88,92,23.1,*,*,*,522,417,365,404,679,552,488,535,101,122,142,10,423
Wayland Baptist University,TX,2,470,440,910,20,*,*,*,*,*,*,253,216,196,*,*,829,1817,5100,5100,2791,1116,1675,350,600,1702,50,50,13.6,5,6271,91,433,278,252,311,502,338,362,387,18,19,15,10,62
West Texas A&M University,TX,1,450,440,890,21,*,*,*,*,*,*,1950,1506,1023,7,35,4111,1301,672,4104,2706,1246,1460,626,500,*,70,73,21.9,10,4717,34,467,358,326,340,583,457,419,435,65,35,58,58,228
Baylor University,TX,2,*,*,*,*,500,620,430,540,21,25,6075,5349,2367,34,66,9919,484,6450,6450,3920,2230,1690,570,600,1346,71,76,18.5,38,7503,72,619,474,397,476,791,610,504,607,226,131,103,7,601
